Applicant_ID,Age,Annual_Income_INR,Debt_to_Income_Ratio,Late_Payments_12M,Credit_History_Years,Credit_Utilization_Ratio,Existing_Loans,Employment_Years,Credit_Score
136,28,1632000,0.11,3,10,0.92,0,5,477
137,36,624000,0.55,3,3,0.79,4,6,300
138,35,1248000,0.54,0,9,0.82,1,4,397
139,55,1008000,0.55,1,22,0.83,1,0,376
140,58,1224000,0.06,4,2,0.15,3,16,488
141,28,432000,0.35,5,9,0.58,3,8,300
142,63,1164000,0.34,0,2,0.95,6,12,413
143,48,564000,0.36,7,3,0.86,2,19,300
144,60,1236000,0.29,8,10,0.45,4,13,326
145,27,588000,0.59,8,4,0.43,1,6,300
146,47,528000,0.25,5,22,0.26,1,21,425
147,51,444000,0.11,1,3,0.43,5,23,405
148,24,1248000,0.47,6,3,0.83,6,3,300
149,24,1116000,0.43,5,1,0.56,1,1,300
150,27,1308000,0.58,5,2,0.73,4,3,300
151,48,312000,0.43,4,1,0.2,5,24,300
152,21,792000,0.6,6,1,0.16,5,0,300
153,26,900000,0.29,7,6,0.17,2,5,318
154,26,396000,0.15,0,2,0.28,5,6,372
155,52,1596000,0.31,3,25,0.5,2,13,543
156,58,1728000,0.38,4,2,0.23,4,1,432
157,21,864000,0.24,3,1,0.73,2,2,346
158,48,768000,0.13,8,23,0.24,4,21,389
159,43,456000,0.3,0,14,0.05,0,10,458
160,61,1512000,0.23,6,1,0.92,1,25,368
161,60,1644000,0.57,5,3,0.43,0,7,357
162,26,1452000,0.6,5,4,0.34,1,1,346
163,53,588000,0.38,3,29,0.74,2,23,435
164,30,960000,0.11,4,4,0.19,1,12,426
165,62,468000,0.16,7,15,0.72,6,18,300
166,57,1224000,0.59,5,5,0.43,3,14,338
167,61,1164000,0.55,0,12,0.5,2,14,452
168,39,468000,0.46,1,20,0.58,3,14,388
169,58,360000,0.33,3,11,0.59,4,4,314
170,42,492000,0.37,2,2,0.26,3,14,350
171,54,720000,0.28,4,13,0.41,2,21,371
172,62,1260000,0.09,1,18,0.65,2,8,503
173,63,696000,0.26,2,30,0.35,5,22,478
174,26,1188000,0.4,5,3,0.65,6,8,300
175,26,1536000,0.37,0,6,0.31,1,5,537
176,35,660000,0.15,4,4,0.5,4,16,344
177,23,1272000,0.6,2,5,0.38,1,1,400
178,31,1584000,0.08,5,11,0.69,3,9,413
179,39,1608000,0.2,3,10,0.92,6,15,442
180,64,1584000,0.34,4,25,0.38,4,13,485
181,31,852000,0.55,2,5,0.08,3,13,359
182,54,612000,0.23,2,9,0.44,4,4,401
183,48,516000,0.65,3,27,0.45,2,0,308
184,44,960000,0.29,1,12,0.24,2,3,470
185,62,1260000,0.55,2,2,0.29,6,15,384
186,51,1608000,0.44,1,1,0.27,6,4,433
187,56,1536000,0.12,4,8,0.31,0,7,465
188,50,432000,0.12,7,20,0.52,5,16,323
189,57,972000,0.5,4,14,0.03,2,7,383
190,63,492000,0.38,5,3,0.91,4,16,300
191,53,300000,0.3,7,2,0.61,2,8,300
192,25,1296000,0.2,1,7,0.57,6,5,426
193,29,372000,0.27,5,11,0.19,6,10,300
194,61,792000,0.56,1,23,0.74,3,1,376
195,39,852000,0.08,3,2,0.32,2,16,405
196,51,1008000,0.07,3,10,0.36,6,1,431
197,62,1248000,0.22,5,14,0.85,5,14,383
198,32,1764000,0.49,5,13,0.51,6,1,360
199,48,480000,0.32,2,18,0.3,0,2,398
200,49,1548000,0.15,7,12,0.44,5,11,410
